region_id	region_name	region_ent_type	total_value	bricks	cement_block	granite_cube_stones	cabook	pressed_soil_bricks	warichchi_mud	cadjan_palmyrah	planks_metal_sheets_asbestos	zink_aluminium_sheets	other	not_relevant
EC-13	Digamadulla	ed	202861	161796	34437	246	114	969	3303	292	1253	338	30	83
EC-10	Jaffna	ed	193281	2913	184176	433	129	738	789	877	2741	339	26	120
LK-23	Nuwara Eliya	district	192915	21337	129248	28331	1067	8747	1803	16	2046	185	88	47
EC-06	Nuwara-Eliya	ed	192915	21337	129248	28331	1067	8747	1803	16	2046	185	88	47
LK-33	Hambantota	district	187558	153368	28297	319	129	2236	2846	25	281	21	29	7
EC-09	Hambantota	ed	187558	153368	28297	319	129	2236	2846	25	281	21	29	7
LK-51	Batticaloa	district	167150	129053	28562	152	82	208	505	1550	5844	963	8	223
EC-12	Batticaloa	ed	166201	128280	28407	151	81	208	505	1549	5827	962	8	223
LK-41	Jaffna	district	156797	2468	149417	402	128	591	621	610	2210	215	26	109
LK-82	Monaragala	district	150728	114868	24390	588	289	4180	5928	26	317	39	89	14
EC-20	Moneragala	ed	150728	114868	24390	588	289	4180	5928	26	317	39	89	14
LK-22	Matale	district	148184	107311	31157	2838	169	3447	2846	11	317	52	24	12
EC-05	Matale	ed	148184	107311	31157	2838	169	3447	2846	11	317	52	24	12
LG-11011	Colombo MC	lg	129244	39642	87368	620	853	31	39	33	599	14	8	37
LK-72	Polonnaruwa	district	126482	113818	10070	100	32	628	1493	21	260	46	6	8
EC-18	Polonnaruwa	ed	126482	113818	10070	100	32	628	1493	21	260	46	6	8
LK-53	Trincomalee	district	119351	70785	45256	84	21	298	696	464	1331	298	6	112
EC-14	Trincomalee	ed	119351	70785	45256	84	21	298	696	464	1331	298	6	112
EC-11	Vanni	ed	114119	14489	95838	83	18	384	587	692	1654	303	8	63
EC-06A	Nuwara Eliya Maskeliya	pd	109082	6793	82787	14476	885	1584	860	12	1480	138	32	35
LG-11031	Homagama PS	lg	84775	9432	71441	440	2844	328	123	0	115	12	10	30
LK-1109	Kaduwela	dsd	79742	18998	58869	233	1133	238	72	1	165	27	3	3
EC-01J	Kaduwela	pd	79742	18998	58869	233	1133	238	72	1	165	27	3	3
LG-11015	Kaduwela MC	lg	79742	18998	58869	233	1133	238	72	1	165	27	3	3
LK-1112	Homagama	dsd	79737	9215	67006	303	2659	285	111	0	107	12	10	29
EC-01L	Homagama	pd	79737	9215	67006	303	2659	285	111	0	107	12	10	29
EC-12B	Batticaloa	pd	79548	64131	11198	101	68	130	260	260	2865	467	4	64
LK-1136	Kesbewa	dsd	75368	17576	53686	151	3425	220	100	1	179	20	3	7
EC-01N	Kesbewa	pd	75368	17576	53686	151	3425	220	100	1	179	20	3	7
LK-1206	Katana	dsd	74870	37714	36272	77	42	147	78	9	514	7	7	3
EC-02C	Katana	pd	74870	37714	36272	77	42	147	78	9	514	7	7	3
LK-1103	Colombo	dsd	71142	19889	49732	452	478	15	26	28	483	7	5	27
EC-09D	Thissamaharama	pd	69005	52240	15330	74	11	703	477	15	121	12	20	2
EC-13A	Ampara	pd	68270	58696	5914	23	22	699	2679	4	184	19	26	4
EC-13D	Pothuvil	pd	67633	45474	19900	190	92	198	570	266	667	201	3	72
EC-20C	Wellawaya	pd	67567	50877	12700	48	144	1447	2124	8	174	17	20	8
EC-16A	Puttalam	pd	65834	22804	37829	80	5	226	405	2581	1690	183	5	26
LK-1233	Mahara	dsd	61376	15358	42362	359	1640	1016	468	7	141	14	7	4
EC-02J	Mahara	pd	61376	15358	42362	359	1640	1016	468	7	141	14	7	4
LG-12039	Mahara PS	lg	61376	15358	42362	359	1640	1016	468	7	141	14	7	4
EC-21H	Kolonna	pd	60525	41415	15007	576	58	1053	2292	6	97	14	7	0
EC-18C	Polonnaruwa	pd	60420	53793	5339	50	14	285	709	12	184	28	1	5
LK-1239	Biyagama	dsd	58685	11270	45202	148	1136	607	212	1	93	12	0	4
EC-02L	Biyagama	pd	58685	11270	45202	148	1136	607	212	1	93	12	0	4
LG-12032	Biyagama PS	lg	58685	11270	45202	148	1136	607	212	1	93	12	0	4
LG-11024	Kesbewa UC	lg	58274	12322	42527	127	2886	157	81	1	152	13	2	6
LK-1127	Thimbirigasyaya	dsd	58102	19753	37636	168	375	16	13	5	116	7	3	10
LK-1224	Gampaha	dsd	57568	18525	35555	82	1061	1344	909	1	71	13	4	3
EC-02H	Gampaha	pd	57568	18525	35555	82	1061	1344	909	1	71	13	4	3
LK-1221	Ja Ela	dsd	57159	23421	31384	155	1270	355	221	1	329	15	5	3
EC-02I	Ja Ela	pd	57159	23421	31384	155	1270	355	221	1	329	15	5	3
EC-04B	Harispattuwa	pd	57043	33040	21872	431	32	965	537	1	144	9	3	9
LK-1121	Maharagama	dsd	56550	17936	36534	159	1380	265	84	0	163	18	2	9
EC-01M	Maharagama	pd	56550	17936	36534	159	1380	265	84	0	163	18	2	9
LG-11023	Maharagama UC	lg	56550	17936	36534	159	1380	265	84	0	163	18	2	9
LK-1215	Minuwangoda	dsd	56287	18793	34390	57	450	1332	1110	5	129	10	7	4
EC-02F	Minuwangoda	pd	56287	18793	34390	57	450	1332	1110	5	129	10	7	4
LK-1106	Kolonnawa	dsd	56100	11301	43333	199	210	122	27	4	820	19	1	64
EC-01H	Kolonnawa	pd	56100	11301	43333	199	210	122	27	4	820	19	1	64
EC-03B	Bandaragama	pd	55878	4920	42912	264	6979	221	160	4	377	16	18	7
LG-12037	Katana PS	lg	55181	29654	24770	58	35	116	76	8	451	5	6	2
EC-01K	Avissawella	pd	55105	3325	47749	732	2429	335	177	1	316	15	20	6
LG-12040	Minuwangoda PS	lg	54305	17863	33403	52	439	1300	1096	5	126	10	7	4
EC-05A	Dambulla	pd	54117	40233	11913	58	12	649	1123	6	92	17	12	2
LK-1227	Attanagalla	dsd	54037	14440	36681	155	386	1118	1060	2	158	26	9	2
EC-02G	Attanagalla	pd	54037	14440	36681	155	386	1118	1060	2	158	26	9	2
LG-12031	Attanagalla PS	lg	54037	14440	36681	155	386	1118	1060	2	158	26	9	2
EC-03C	Horana	pd	53871	3416	45395	659	3724	188	219	5	224	16	20	5
LG-13036	Horana PS	lg	51266	2999	43498	652	3516	182	158	5	217	16	19	4
EC-12A	Kalkudah	pd	50958	32475	14364	22	6	20	95	1175	2346	334	2	119
LG-11012	Dehiwala Mount Lavinia MC	lg	50387	20233	28761	143	542	45	22	10	614	12	1	4
EC-17E	Kalawewa	pd	50248	42624	6771	10	13	217	522	13	58	11	5	4
LK-1212	Mirigama	dsd	49540	13020	32800	129	176	1582	1529	0	277	12	12	3
EC-02E	Mirigama	pd	49540	13020	32800	129	176	1582	1529	0	277	12	12	3
LG-12041	Mirigama PS	lg	49540	13020	32800	129	176	1582	1529	0	277	12	12	3
LK-1303	Panadura	dsd	49198	11694	34062	107	2633	61	51	0	570	8	3	9
LK-1218	Wattala	dsd	48787	19114	27395	168	528	152	63	2	1313	36	4	12
EC-02A	Wattala	pd	48787	19114	27395	168	528	152	63	2	1313	36	4	12
EC-09C	Tangalle	pd	48607	42517	5267	23	10	303	414	5	58	5	2	3
EC-14C	Muttur	pd	48496	38463	8654	12	13	75	232	215	649	115	1	67
LG-12036	Ja- Ela PS	lg	48422	19137	27234	126	1112	344	213	0	235	13	5	3
LK-43	Vavuniya	district	47825	10861	35614	45	13	217	377	56	492	145	1	4
EC-11B	Vavuniya	pd	47825	10861	35614	45	13	217	377	56	492	145	1	4
EC-16B	Anamaduwa	pd	47541	40480	4849	23	22	330	840	396	528	55	8	10
LK-1230	Dompe	dsd	47297	4621	38116	302	3062	638	419	1	116	9	11	2
EC-02K	Dompe	pd	47297	4621	38116	302	3062	638	419	1	116	9	11	2
LG-12034	Dompe PS	lg	47297	4621	38116	302	3062	638	419	1	116	9	11	2
EC-20B	Monaragala	pd	46891	33210	8735	399	109	1666	2631	14	80	8	34	5
EC-21B	Ratnapura	pd	46529	3451	39783	1235	292	451	1022	2	281	6	6	0
EC-15C	Yapahuwa	pd	46399	42886	2115	27	9	244	969	27	98	10	10	4
LG-61038	Kurunegala PS	lg	45917	40630	4313	61	46	322	399	0	119	18	5	4
EC-16C	Chilaw	pd	45781	34214	9652	15	35	189	110	243	1301	12	3	7
LK-9148	Embilipitiya	dsd	45752	33481	10599	45	20	505	1009	3	72	12	6	0
LK-1209	Divulapitiya	dsd	44830	22964	20549	64	90	417	397	10	318	8	5	8
EC-02D	Divulapitiya	pd	44830	22964	20549	64	90	417	397	10	318	8	5	8
LG-12033	Divulapitiya PS	lg	44830	22964	20549	64	90	417	397	10	318	8	5	8
EC-17D	Anuradhapura West	pd	44446	34478	8838	12	11	245	762	9	59	21	9	2
EC-17C	Anuradhapura East	pd	44285	35686	8050	49	7	131	249	5	80	10	13	5
LK-1133	Moratuwa	dsd	43985	15107	24972	70	1916	31	27	3	1835	14	5	5
EC-01O	Moratuwa	pd	43985	15107	24972	70	1916	31	27	3	1835	14	5	5
LG-11013	Moratuwa MC	lg	43985	15107	24972	70	1916	31	27	3	1835	14	5	5
LK-1321	Kalutara	dsd	43722	9148	30297	136	3514	171	133	3	293	14	7	6
EC-03F	Kalutara	pd	43722	9148	30297	136	3514	171	133	3	293	14	7	6
EC-21D	Balangoda	pd	43196	7571	29956	2064	542	1520	1374	1	147	7	10	4
EC-19A	Mahiyanganaya	pd	42424	37053	3768	37	8	555	893	1	77	10	18	4
EC-03A	Panadura	pd	42106	10908	28258	102	2246	47	37	0	490	7	3	8
EC-15A	Galgamuwa	pd	41962	38882	2380	28	10	158	416	9	64	11	1	3
LK-2314	Norwood	dsd	41961	1090	33303	6290	173	504	331	3	217	26	9	15
EC-03E	Mathugama	pd	41851	2840	34510	833	2009	1082	403	2	142	5	17	8
LK-1324	Beruwala	dsd	41819	7246	30822	102	2444	520	222	3	441	9	5	5
EC-03G	Beruwala	pd	41819	7246	30822	102	2444	520	222	3	441	9	5	5
LG-12042	Wattala PS	lg	41508	16120	23309	152	474	144	54	2	1205	33	3	12
EC-21E	Rakwana	pd	41286	13736	21621	1012	277	1389	3127	6	100	5	12	1
LG-11034	Seethawaka PS	lg	41030	2539	35422	572	1854	273	145	0	195	12	14	4
EC-09A	Mulkirigala	pd	40723	34579	3824	183	93	655	1319	4	57	2	5	2
LG-11033	Kotikawatta-Mullariyawa PS	lg	40634	7573	32386	107	140	114	23	1	269	14	1	6
EC-15I	Kuliyapitiya	pd	40476	35456	4124	13	25	399	239	11	192	7	9	1
LG-13039	Panadura PS	lg	40054	8709	28716	72	1918	50	48	0	526	7	3	5
LK-2130	Gangawata Korale	dsd	39803	17282	21371	373	90	444	155	0	74	9	2	3
LG-12035	Gampaha PS	lg	39766	10534	26363	62	921	1071	758	1	43	8	3	2
EC-15D	Hiriyala	pd	39659	35970	2503	17	5	280	773	12	79	7	8	5
LG-61035	Ibbagamuwa PS	lg	39659	35970	2503	17	5	280	773	12	79	7	8	5
LG-21035	Medadumbara PS	lg	39430	17698	19924	304	56	952	386	1	85	14	5	5
LK-2127	Kundasale	dsd	39297	17667	19834	299	56	950	381	1	85	14	5	5
EC-04F	Kundasale	pd	39297	17667	19834	299	56	950	381	1	85	14	5	5
LG-61037	Kuliyapitiya PS	lg	39088	34191	4020	13	25	396	237	10	179	7	9	1
EC-14B	Trincomalee	pd	38865	9198	28748	39	2	107	113	97	424	103	0	34
LK-6178	Pannala	dsd	38853	28124	9375	24	55	589	301	10	350	11	9	5
EC-15H	Katugampola	pd	38853	28124	9375	24	55	589	301	10	350	11	9	5
LG-61043	Pannala PS	lg	38853	28124	9375	24	55	589	301	10	350	11	9	5
EC-07I	Akmeemana	pd	38825	11273	25556	226	786	390	267	2	302	10	9	4
EC-01B	Colombo Central	pd	38617	9223	28822	85	322	6	11	28	91	4	4	21
EC-15B	Nikaweratiya	pd	38556	36445	1596	8	10	111	260	18	89	13	6	0
EC-16E	Wennappuwa	pd	38456	28169	9677	12	16	188	45	10	301	8	7	23
LG-62040	Wennappuwa PS	lg	38456	28169	9677	12	16	188	45	10	301	8	7	23
EC-04L	Gampola	pd	38384	3833	30380	2889	111	644	377	1	127	13	4	5
EC-07E	Hiniduma	pd	37921	10534	24485	411	728	784	652	1	320	0	5	1
EC-08A	Deniyaya	pd	37646	11236	22472	763	879	835	1005	1	434	13	8	0
EC-03H	Agalawatta	pd	37626	1701	30713	801	985	2384	740	0	282	3	15	2
LK-1309	Horana	dsd	37489	2736	30859	385	3105	116	139	2	127	7	9	4
EC-17A	Medawachchiya	pd	37265	30045	6077	17	15	239	776	4	77	8	6	1
EC-13B	Samanthurai	pd	36998	30420	6118	26	0	63	49	15	219	84	1	3
LK-1236	Kelaniya	dsd	36692	11619	23713	55	363	96	70	0	750	10	6	10
EC-02M	Kelaniya	pd	36692	11619	23713	55	363	96	70	0	750	10	6	10
EC-21A	Eheliyagoda	pd	36540	1648	31513	1231	962	454	547	3	152	5	24	1
LG-91039	Kuruvita PS	lg	36520	1907	31724	1100	553	360	677	3	177	5	14	0
LK-45	Kilinochchi	district	36484	445	34759	31	1	147	168	267	531	124	0	11
EC-10K	Kilinochchi	pd	36484	445	34759	31	1	147	168	267	531	124	0	11
EC-07F	Baddegama	pd	36477	16114	18064	321	658	491	518	1	299	5	4	2
LG-12011	Negombo MC	lg	36397	26036	9872	97	49	80	9	8	235	7	4	0
EC-20A	Bibile	pd	36270	30781	2955	141	36	1067	1173	4	63	14	35	1
EC-15M	Mawathagama	pd	36196	30657	4498	54	29	495	360	0	81	13	5	4
EC-15J	Dambadeniya	pd	36046	29626	4839	30	19	679	572	9	243	17	11	1
LK-1203	Negombo	dsd	35897	25704	9711	97	49	78	9	8	230	7	4	0
EC-02B	Negombo	pd	35897	25704	9711	97	49	78	9	8	230	7	4	0
EC-15L	Kurunegala	pd	35896	31692	3565	44	22	171	249	0	131	16	2	4
EC-12C	Paddiruppu	pd	35695	31674	2845	28	7	58	150	114	616	161	2	40
EC-04M	Nawalapitiya	pd	35528	3405	27395	3596	174	554	293	0	95	14	2	0
EC-15G	Bingiriya	pd	35488	29729	4574	10	32	540	210	43	319	19	10	2
EC-08B	Hakmana	pd	34439	23374	7922	611	777	767	862	3	117	3	1	2
EC-05D	Rattota	pd	34432	21131	8632	2028	89	1811	623	2	97	9	4	6
LK-1115	Seethawaka	dsd	34414	2410	29737	248	1431	199	110	1	256	8	10	4
EC-17G	Kekirawa	pd	34403	28074	5495	19	15	141	600	0	48	8	2	1
LK-44	Mullaitivu	district	34348	2869	30028	20	2	144	169	200	774	99	3	40
EC-08C	Akuressa	pd	34291	11270	19772	334	1640	725	367	0	174	4	3	2
EC-11C	Mullaitivu	pd	34289	2868	29970	20	2	144	169	200	774	99	3	40
EC-18A	Minneriya	pd	34188	30408	2938	28	4	228	518	4	42	11	4	3
EC-08G	Weligama	pd	34063	16986	14452	184	1441	541	147	0	304	3	3	2
EC-16D	Nattandiya	pd	33882	23858	8649	89	45	138	59	47	977	12	2	6
LG-62036	Nattandiya PS	lg	33882	23858	8649	89	45	138	59	47	977	12	2	6
LG-91035	Embilipitiya PS	lg	33843	24820	7576	39	17	368	949	2	57	12	3	0
LG-62034	Kalpitiya PS	lg	33795	8964	21616	56	2	11	11	2085	933	95	2	20
LG-13033	Beruwala PS	lg	33782	5343	25054	73	2195	507	221	3	368	9	5	4
EC-17B	Horowpothana	pd	33764	29104	4029	14	11	211	337	3	38	9	4	4
EC-21F	Nivithigala	pd	33760	3513	25585	2039	178	1013	1326	3	92	1	10	0
EC-01A	Colombo North	pd	33323	11090	21267	376	166	10	16	0	390	3	1	4
LK-9112	Ratnapura	dsd	33231	2294	28053	1089	112	488	903	2	274	6	4	6
LK-1306	Bandaragama	dsd	33138	3218	25203	58	4309	104	60	2	167	12	1	4
LG-13032	Bandaragama PS	lg	33138	3218	25203	58	4309	104	60	2	167	12	1	4
EC-21C	Pelmadulla	pd	33047	4266	24104	2058	298	792	1342	1	164	5	8	9
LK-9206	Mawanella	dsd	33009	24545	7440	259	32	333	334	0	57	2	2	5
EC-22E	Mawanella	pd	33009	24545	7440	259	32	333	334	0	57	2	2	5
LG-92036	Mawanella PS	lg	33009	24545	7440	259	32	333	334	0	57	2	2	5
EC-07D	Bentara Elpitiya	pd	32971	7135	22221	248	619	2178	463	3	95	5	4	0
EC-03D	Bulathsinhala	pd	32557	1305	27747	1032	1259	603	344	1	248	7	7	4
LK-2313	Thalawakele	dsd	32304	1521	24767	4690	325	557	327	2	85	10	6	14
LK-9218	Warakapola	dsd	32191	15488	13602	810	149	1317	704	3	97	4	12	5
EC-22A	Dedigama	pd	32191	15488	13602	810	149	1317	704	3	97	4	12	5
LG-92039	Warakapola PS	lg	32191	15488	13602	810	149	1317	704	3	97	4	12	5
LK-3242	Matara Four Gravets	dsd	32080	22712	8240	138	351	410	47	0	169	10	1	2
EC-08F	Matara	pd	32080	22712	8240	138	351	410	47	0	169	10	1	2
LK-4309	Vavuniya	dsd	32007	6229	24952	38	6	142	167	33	337	100	0	3
LK-42	Mannar	district	32005	760	30254	18	3	23	41	436	388	59	4	19
EC-11A	Mannar	pd	32005	760	30254	18	3	23	41	436	388	59	4	19
EC-14A	Seruvila	pd	31990	23124	7854	33	6	116	351	152	258	80	5	11
EC-04C	Pathadumbara	pd	31978	17993	11112	1566	32	887	315	1	64	5	2	1
EC-18B	Medirigiriya	pd	31874	29617	1793	22	14	115	266	5	34	7	1	0
EC-05C	Matale	pd	31430	23470	6752	223	62	439	401	3	59	13	5	3
LK-2139	Udunuwara	dsd	31284	10352	19569	449	28	618	164	1	96	4	2	1
EC-04K	Udunuwara	pd	31284	10352	19569	449	28	618	164	1	96	4	2	1
LG-21046	Udunuwara PS	lg	31284	10352	19569	449	28	618	164	1	96	4	2	1
EC-15E	Wariyapola	pd	31245	29487	1163	10	6	143	308	9	91	14	12	2
LG-61047	Wariyapola PS	lg	31245	29487	1163	10	6	143	308	9	91	14	12	2
EC-19H	Bandarawela	pd	31025	8226	15325	1472	602	5118	141	1	117	8	14	1
LG-71047	Thalawa PS	lg	30899	25548	4846	21	7	159	273	7	27	7	2	2
LK-2136	Yatinuwara	dsd	30659	9815	19239	610	43	643	204	0	95	4	4	2
EC-04J	Yatinuwara	pd	30659	9815	19239	610	43	643	204	0	95	4	4	2
EC-07J	Habaraduwa	pd	30340	8378	19923	200	1087	327	210	1	196	9	5	4
LG-21045	Udapalatha PS	lg	30246	2553	23526	3052	93	530	373	1	97	12	5	4
EC-21G	Kalawana	pd	29970	997	25079	1410	159	487	1399	2	407	4	25	1
EC-13C	Kalmunai	pd	29960	27206	2505	7	0	9	5	7	183	34	0	4
LG-52011	Kalmunai MC	lg	29960	27206	2505	7	0	9	5	7	183	34	0	4
EC-06D	Walapane	pd	29929	8337	12955	2668	57	5341	304	2	205	29	27	4
LG-23035	Walapane PS	lg	29929	8337	12955	2668	57	5341	304	2	205	29	27	4
LG-12038	Kelaniya PS	lg	29689	9962	18845	49	327	93	65	0	328	7	5	8
EC-15K	Polgahawela	pd	29674	25144	3841	78	6	184	306	1	98	12	2	2
LG-61044	Polgahawela PS	lg	29674	25144	3841	78	6	184	306	1	98	12	2	2
EC-15F	Panduwasnuwara	pd	29611	27758	1332	11	3	181	135	10	164	12	3	2
LG-61042	Panduwasnuwara PS	lg	29611	27758	1332	11	3	181	135	10	164	12	3	2
LG-51011	Koralai Pattu PS	lg	29455	23804	4532	29	23	22	10	121	749	118	0	47
EC-08D	Kamburupitiya	pd	29344	19899	7406	163	666	643	490	1	61	8	2	5
EC-09B	Beliatta	pd	29223	24032	3876	39	15	575	636	1	45	2	2	0
LG-32042	Weligama PS	lg	29144	13795	13015	176	1283	488	138	0	243	3	3	0
LK-8130	Welimada	dsd	28668	7704	13276	737	406	6084	259	2	156	18	22	4
EC-19G	Welimada	pd	28668	7704	13276	737	406	6084	259	2	156	18	22	4
LG-81044	Welimada  PS	lg	28668	7704	13276	737	406	6084	259	2	156	18	22	4
EC-22H	Ruwanwella	pd	28446	1257	24466	850	650	657	294	4	243	6	14	5
EC-07C	Karandeniya	pd	28420	6009	21132	122	41	670	389	0	49	2	3	3
EC-04H	Senkadagala	pd	28379	11947	15454	319	75	393	124	0	55	8	1	3
EC-07B	Ambalangoda	pd	28280	7764	18782	69	46	930	504	1	177	3	4	0
EC-05B	Laggala	pd	28205	22477	3860	529	6	548	699	0	69	13	3	1
EC-08E	Devinuwara	pd	28171	17764	8667	158	222	904	325	0	119	2	8	2
EC-06B	Kothmale	pd	27972	1097	20520	4998	47	606	354	0	306	14	24	6
LG-23033	Kothmale PS	lg	27972	1097	20520	4998	47	606	354	0	306	14	24	6
LK-1124	Sri Jayawardanapura Kotte	dsd	27833	12818	14131	81	441	25	16	4	311	0	3	3
EC-01I	Kotte	pd	27833	12818	14131	81	441	25	16	4	311	0	3	3
LG-11014	Sri Jayawardanapura Kotte MC	lg	27833	12818	14131	81	441	25	16	4	311	0	3	3
LG-91040	Nivithigala PS	lg	27426	2216	22111	1467	105	556	873	4	83	1	10	0
EC-22G	Yatiyanthota	pd	27351	1759	22220	1930	157	735	244	0	287	3	14	2
EC-07G	Ratgama	pd	27280	7281	18369	209	155	800	280	1	176	3	6	0
LG-62033	Chilaw PS	lg	27184	18441	7520	12	31	153	83	97	834	8	2	3
EC-17F	Mihinthale	pd	26997	22030	4392	17	4	124	368	2	47	10	3	0
LK-9106	Kuruvita	dsd	26914	1439	23647	752	246	273	436	2	104	4	11	0
LK-2151	Udapalatha	dsd	26879	3732	20754	1601	50	432	186	1	105	10	3	5
LG-61041	Nikaweratiya PS	lg	26867	25296	1199	7	2	81	216	10	44	6	6	0
LK-6163	Rideegama	dsd	26848	23671	2108	152	11	281	545	4	67	5	1	3
EC-15N	Dodangaslanda	pd	26848	23671	2108	152	11	281	545	4	67	5	1	3
LG-61046	Rideegama PS	lg	26848	23671	2108	152	11	281	545	4	67	5	1	3
LK-5315	Town & Gravets	dsd	26784	4501	21722	34	2	100	91	12	249	69	0	4
LG-21011	Kandy MC/ Pathadumbara PS	lg	26771	13902	12259	178	71	214	85	0	52	6	1	3
LK-6130	Ibbagamuwa	dsd	26761	23897	2063	11	3	186	520	7	62	5	3	4
LK-9212	Kegalle	dsd	26532	14114	9974	1295	21	691	313	0	111	4	5	4
EC-22C	Kegalle	pd	26532	14114	9974	1295	21	691	313	0	111	4	5	4
LG-61039	Maho PS	lg	26526	25062	1009	17	3	104	252	15	53	4	4	3
LG-45031	Karachchi PS	lg	26346	351	25141	24	0	128	148	101	362	84	0	7
LK-3139	Galle 4 Gravets	dsd	26173	11323	13903	100	441	143	38	1	208	8	2	6
EC-07H	Galle	pd	26173	11323	13903	100	441	143	38	1	208	8	2	6
LG-61033	Galgamuwa PS	lg	26085	24208	1480	21	9	84	230	4	39	9	0	1
LK-9124	Pelmadulla	dsd	26068	4109	18275	1696	294	579	1035	0	68	3	6	3
EC-22I	Deraniyagala	pd	26054	988	22044	1283	361	560	366	3	430	8	8	3
LK-8124	Hali-Ela	dsd	25945	6995	12861	623	262	4967	97	1	84	12	43	0
EC-19E	Hali Ela	pd	25945	6995	12861	623	262	4967	97	1	84	12	43	0
LG-81035	Hali-Ela  PS	lg	25945	6995	12861	623	262	4967	97	1	84	12	43	0
EC-06C	Hanguranketha	pd	25932	5110	12986	6189	78	1216	285	2	55	4	5	2
LG-23032	Hanguranketha PS	lg	25932	5110	12986	6189	78	1216	285	2	55	4	5	2
LG-13037	Kalutara PS	lg	25905	3965	19129	28	2363	81	97	2	224	8	5	3
LK-2133	Harispattuwa	dsd	25869	11802	13319	82	19	392	194	1	48	4	0	8
LG-33039	Weeraketiya PS	lg	25776	22308	2381	12	36	337	653	3	41	2	2	1
LG-62031	Anamaduwa PS	lg	25675	22773	2013	11	5	119	379	108	245	10	3	9
LK-5112	Eravur Pattu	dsd	25613	16418	7148	59	2	47	128	254	1414	138	2	3
LK-5118	Manmunai North	dsd	25590	21347	3362	29	23	22	9	32	619	113	0	34
LG-21033	Harispattuwa PS	lg	25408	11467	13201	80	19	392	190	1	46	4	0	8
LG-91041	Pelmadulla PS	lg	25397	4026	17749	1676	294	572	1004	0	65	3	5	3
LK-1130	Dehiwala	dsd	25382	11526	13365	70	252	32	14	3	115	1	0	4
EC-01F	Dehiwala	pd	25382	11526	13365	70	252	32	14	3	115	1	0	4
LK-6127	Polpitigama	dsd	25354	22943	1320	14	6	172	811	14	60	6	7	1
